Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDE10,6.67,Regular,High,Snack Foods,131.26,OUT017,2007,NA,Tier 2,Supermarket Type1,2098.6
NCU17,5.32,Low Fat,High,Health and Hygiene,103.87,OUT045,2002,NA,Tier 2,Supermarket Type1,509.34
FDB36,12.6,Regular,High,Baking Goods,133.16,OUT027,1985,Medium,Tier 3,Supermarket Type3,2492.09
DRF13,12.1,Low Fat,Low,Soft Drinks,144.34,OUT018,2009,Medium,Tier 3,Supermarket Type2,1161.16
FDL13,13.85,Regular,High,Breakfast,232.73,OUT018,2009,Medium,Tier 3,Supermarket Type2,6291.81
NCH55,16.35,Low Fat,Low,Household,125.6,OUT049,1999,Medium,Tier 1,Supermarket Type1,3036.05
NCF18,18.35,Low Fat,High,Household,192.85,OUT013,1987,Large,Tier 3,Supermarket Type1,2876.26
FDC09,15.5,Regular,Low,Fruits and Vegetables,102.03,OUT010,1998,NA,Tier 3,Grocery Store,102.53
FDV09,12.1,Low Fat,Low,Snack Foods,150.47,OUT046,1997,Small,Tier 1,Supermarket Type1,2078.63
FDV09,12.1,Low Fat,Low,Snack Foods,148.27,OUT035,2004,Small,Tier 2,Supermarket Type1,3266.41
FDU16,19.25,Regular,High,Frozen Foods,85.29,OUT013,1987,Large,Tier 3,Supermarket Type1,671.13
FDD26,8.71,Regular,High,Canned,183.39,OUT046,1997,Small,Tier 1,Supermarket Type1,3146.57
NCA29,10.5,Low Fat,Low,Household,170.91,OUT013,1987,Large,Tier 3,Supermarket Type1,3251.1
FDZ26,11.6,Regular,High,Dairy,240.82,OUT018,2009,Medium,Tier 3,Supermarket Type2,3585.33
FDT56,16.0,Regular,High,Fruits and Vegetables,55.92,OUT010,1998,NA,Tier 3,Grocery Store,405.47
FDF22,6.86,Low Fat,High,Snack Foods,214.62,OUT045,2002,NA,Tier 2,Supermarket Type1,1923.5
FDH21,10.4,Low Fat,Low,Seafood,159.56,OUT045,2002,NA,Tier 2,Supermarket Type1,2852.29
FDD44,8.05,Regular,High,Fruits and Vegetables,259.06,OUT046,1997,Small,Tier 1,Supermarket Type1,4380.3
FDS56,5.78,Regular,Low,Fruits and Vegetables,264.23,OUT017,2007,NA,Tier 2,Supermarket Type1,3934.88
FDF21,10.3,Regular,High,Fruits and Vegetables,191.65,OUT049,1999,Medium,Tier 1,Supermarket Type1,5313.08
FDM44,12.5,Low Fat,Low,Fruits and Vegetables,103.1,OUT018,2009,Medium,Tier 3,Supermarket Type2,722.39
DRK01,7.63,Low Fat,High,Soft Drinks,92.54,OUT049,1999,Medium,Tier 1,Supermarket Type1,1607.24
FDO22,13.5,Regular,High,Snack Foods,78.4,OUT035,2004,Small,Tier 2,Supermarket Type1,1438.13
FDP57,17.5,Low Fat,High,Snack Foods,101.3,OUT045,2002,NA,Tier 2,Supermarket Type1,722.39
DRF49,12.6,Low Fat,High,Soft Drinks,112.05,OUT019,1985,Small,Tier 1,Grocery Store,113.85
DRK11,8.21,low fat,Low,Hard Drinks,150.54,OUT018,2009,Medium,Tier 3,Supermarket Type2,1043.97
FDT51,11.65,Regular,Low,Meat,110.95,OUT018,2009,Medium,Tier 3,Supermarket Type2,335.56
FDE58,18.5,Low Fat,High,Snack Foods,119.81,OUT017,2007,NA,Tier 2,Supermarket Type1,4029.42
FDT23,7.72,Regular,High,Breads,78.8,OUT018,2009,Medium,Tier 3,Supermarket Type2,856.88
NCT42,5.88,Low Fat,Low,Household,149.44,OUT035,2004,Small,Tier 2,Supermarket Type1,1640.53
FDJ41,6.85,Low Fat,Low,Frozen Foods,262.36,OUT035,2004,Small,Tier 2,Supermarket Type1,3924.89
NCF42,12.6,Low Fat,High,Household,176.17,OUT027,1985,Medium,Tier 3,Supermarket Type3,3691.2
FDA19,7.52,Low Fat,High,Fruits and Vegetables,128.9,OUT013,1987,Large,Tier 3,Supermarket Type1,2055.99
FDW09,13.65,Regular,Low,Snack Foods,81.23,OUT046,1997,Small,Tier 1,Supermarket Type1,2059.99
NCO14,12.6,Low Fat,Low,Household,46.21,OUT027,1985,Medium,Tier 3,Supermarket Type3,802.95
FDO39,6.98,Regular,High,Meat,185.26,OUT045,2002,NA,Tier 2,Supermarket Type1,2940.17
FDR45,12.6,Low Fat,High,Snack Foods,240.62,OUT027,1985,Medium,Tier 3,Supermarket Type3,4302.4
FDA15,9.3,Low Fat,Low,Dairy,248.91,OUT010,1998,NA,Tier 3,Grocery Store,498.02
FDY13,12.1,Low Fat,Low,Canned,74.77,OUT013,1987,Large,Tier 3,Supermarket Type1,2220.44
FDY31,5.98,Low Fat,Low,Fruits and Vegetables,145.34,OUT018,2009,Medium,Tier 3,Supermarket Type2,2354.27
NCS29,9.0,Low Fat,High,Health and Hygiene,266.29,OUT049,1999,Medium,Tier 1,Supermarket Type1,2914.87
FDJ52,7.14,Low Fat,Low,Frozen Foods,160.66,OUT018,2009,Medium,Tier 3,Supermarket Type2,2246.41
NCX41,19.0,Low Fat,Low,Health and Hygiene,211.72,OUT045,2002,NA,Tier 2,Supermarket Type1,2752.42
FDQ36,7.86,Regular,High,Baking Goods,35.68,OUT045,2002,NA,Tier 2,Supermarket Type1,335.56
FDV35,19.5,Low Fat,High,Breads,156.13,OUT035,2004,Small,Tier 2,Supermarket Type1,2792.37
FDE02,8.71,Low Fat,High,Canned,92.78,OUT046,1997,Small,Tier 1,Supermarket Type1,1032.66
FDA34,11.5,Low Fat,Low,Starchy Foods,173.91,OUT018,2009,Medium,Tier 3,Supermarket Type2,1211.76
NCL42,18.85,Low Fat,Low,Household,244.31,OUT049,1999,Medium,Tier 1,Supermarket Type1,5635.33
FDE14,13.65,Regular,Low,Canned,98.77,OUT045,2002,NA,Tier 2,Supermarket Type1,1697.79
DRD25,6.14,Low Fat,High,Soft Drinks,114.39,OUT049,1999,Medium,Tier 1,Supermarket Type1,1018.67
DRF01,5.66,Low Fat,High,Soft Drinks,146.91,OUT018,2009,Medium,Tier 3,Supermarket Type2,1749.72
FDF39,14.85,Regular,Low,Dairy,261.29,OUT013,1987,Large,Tier 3,Supermarket Type1,10256.65
FDP01,20.75,Regular,High,Breakfast,153.77,OUT035,2004,Small,Tier 2,Supermarket Type1,1829.62
FDB10,10.0,Low Fat,High,Snack Foods,234.86,OUT018,2009,Medium,Tier 3,Supermarket Type2,1181.8
FDY14,10.3,Low Fat,High,Dairy,263.62,OUT035,2004,Small,Tier 2,Supermarket Type1,6608.06
FDR57,5.68,Regular,Low,Snack Foods,156.13,OUT046,1997,Small,Tier 1,Supermarket Type1,2828.32
NCH29,5.51,Low Fat,High,Health and Hygiene,98.97,OUT018,2009,Medium,Tier 3,Supermarket Type2,1565.96
FDJ45,17.75,low fat,High,Seafood,33.92,OUT045,2002,NA,Tier 2,Supermarket Type1,830.92
FDZ48,17.75,Low Fat,High,Baking Goods,113.15,OUT018,2009,Medium,Tier 3,Supermarket Type2,1006.69
FDV44,8.36,Regular,Low,Fruits and Vegetables,189.22,OUT045,2002,NA,Tier 2,Supermarket Type1,4570.05
FDR01,12.6,Regular,High,Canned,200.47,OUT019,1985,Small,Tier 1,Grocery Store,398.15
FDZ57,10.0,Regular,Low,Snack Foods,128.3,OUT013,1987,Large,Tier 3,Supermarket Type1,1413.49
FDI08,18.2,Regular,High,Fruits and Vegetables,250.11,OUT049,1999,Medium,Tier 1,Supermarket Type1,5727.21
DRA24,19.35,Regular,Low,Soft Drinks,163.39,OUT035,2004,Small,Tier 2,Supermarket Type1,3439.52
FDS39,12.6,Low Fat,Low,Meat,143.78,OUT027,1985,Medium,Tier 3,Supermarket Type3,4986.84
NCL31,7.39,Low Fat,High,Others,141.45,OUT013,1987,Large,Tier 3,Supermarket Type1,2290.35
FDD34,7.94,Low Fat,Low,Snack Foods,163.82,OUT049,1999,Medium,Tier 1,Supermarket Type1,1794.33
FDC34,16.0,Regular,High,Snack Foods,157.1,OUT046,1997,Small,Tier 1,Supermarket Type1,4673.92
NCK05,20.1,Low Fat,High,Health and Hygiene,59.25,OUT046,1997,Small,Tier 1,Supermarket Type1,735.04
FDB32,20.6,Low Fat,Low,Fruits and Vegetables,94.48,OUT010,1998,NA,Tier 3,Grocery Store,93.88
FDC03,8.57,Regular,High,Dairy,196.58,OUT017,2007,NA,Tier 2,Supermarket Type1,5267.14
FDO19,17.7,Regular,Low,Fruits and Vegetables,47.9,OUT018,2009,Medium,Tier 3,Supermarket Type2,729.05
FDZ28,20.0,Regular,High,Frozen Foods,125.47,OUT010,1998,NA,Tier 3,Grocery Store,127.17
FDK28,5.7,Low Fat,High,Frozen Foods,256.06,OUT010,1998,NA,Tier 3,Grocery Store,1288.32
NCU30,5.11,Low Fat,High,Household,164.72,OUT018,2009,Medium,Tier 3,Supermarket Type2,3588.66
FDV57,15.25,Regular,High,Snack Foods,178.17,OUT045,2002,NA,Tier 2,Supermarket Type1,4853.68
FDB02,12.6,Regular,Low,Canned,177.84,OUT027,1985,Medium,Tier 3,Supermarket Type3,6704.61
FDD52,18.25,Regular,High,Dairy,110.36,OUT013,1987,Large,Tier 3,Supermarket Type1,2087.28
FDN34,15.6,Regular,High,Snack Foods,170.61,OUT013,1987,Large,Tier 3,Supermarket Type1,6595.41
FDB50,13.0,Low Fat,High,Canned,76.4,OUT049,1999,Medium,Tier 1,Supermarket Type1,778.99
FDS55,7.02,Low Fat,High,Fruits and Vegetables,147.37,OUT049,1999,Medium,Tier 1,Supermarket Type1,2524.05
FDR21,19.7,Low Fat,High,Snack Foods,177.54,OUT046,1997,Small,Tier 1,Supermarket Type1,3175.87
NCD07,9.1,Low Fat,High,Household,112.55,OUT049,1999,Medium,Tier 1,Supermarket Type1,341.56
FDO11,8.0,Regular,High,Breads,249.91,OUT010,1998,NA,Tier 3,Grocery Store,249.01
NCC54,17.75,Low Fat,High,Health and Hygiene,240.92,OUT018,2009,Medium,Tier 3,Supermarket Type2,4579.37
FDV35,19.5,Low Fat,High,Breads,156.43,OUT049,1999,Medium,Tier 1,Supermarket Type1,2326.97
NCU29,7.68,Low Fat,Low,Health and Hygiene,145.28,OUT046,1997,Small,Tier 1,Supermarket Type1,3515.42
NCZ53,9.6,Low Fat,Low,Health and Hygiene,188.72,OUT010,1998,NA,Tier 3,Grocery Store,376.84
DRE03,19.6,Low Fat,Low,Dairy,45.57,OUT010,1998,NA,Tier 3,Grocery Store,47.27
FDZ09,17.6,Low Fat,High,Snack Foods,163.69,OUT010,1998,NA,Tier 3,Grocery Store,163.79
FDE40,15.6,Regular,High,Dairy,63.62,OUT045,2002,NA,Tier 2,Supermarket Type1,743.03
NCS18,12.65,Low Fat,Low,Household,108.49,OUT049,1999,Medium,Tier 1,Supermarket Type1,1500.71
FDX24,12.6,Low Fat,Low,Baking Goods,94.45,OUT027,1985,Medium,Tier 3,Supermarket Type3,2036.02
FDS34,12.6,Regular,High,Snack Foods,112.15,OUT027,1985,Medium,Tier 3,Supermarket Type3,3870.96
NCS53,14.5,Low Fat,High,Health and Hygiene,159.56,OUT045,2002,NA,Tier 2,Supermarket Type1,1426.14
FDH38,6.42,Low Fat,Low,Canned,116.58,OUT018,2009,Medium,Tier 3,Supermarket Type2,2460.8
DRM35,9.7,Low Fat,High,Hard Drinks,176.93,OUT045,2002,NA,Tier 2,Supermarket Type1,5888.34
DRI25,19.6,Low Fat,Low,Soft Drinks,56.16,OUT013,1987,Large,Tier 3,Supermarket Type1,828.92
NCP06,20.7,Low Fat,Low,Household,152.84,OUT035,2004,Small,Tier 2,Supermarket Type1,2569.32
FDT02,12.6,Low Fat,Low,Dairy,34.99,OUT017,2007,NA,Tier 2,Supermarket Type1,529.31
NCP14,8.28,Low Fat,High,Household,104.23,OUT013,1987,Large,Tier 3,Supermarket Type1,3658.57
NCD43,12.6,Low Fat,Low,Household,106.2,OUT019,1985,Small,Tier 1,Grocery Store,210.39
FDP20,19.85,Low Fat,High,Fruits and Vegetables,128.1,OUT013,1987,Large,Tier 3,Supermarket Type1,1265.02
FDK04,7.36,Low Fat,High,Frozen Foods,55.26,OUT010,1998,NA,Tier 3,Grocery Store,229.04
FDQ15,20.35,Regular,High,Meat,82.73,OUT010,1998,NA,Tier 3,Grocery Store,162.46
FDE11,17.7,Regular,High,Starchy Foods,183.79,OUT049,1999,Medium,Tier 1,Supermarket Type1,2221.11
FDN01,12.6,Low Fat,High,Breakfast,176.94,OUT019,1985,Small,Tier 1,Grocery Store,352.87
FDC29,8.39,Regular,Low,Frozen Foods,112.62,OUT035,2004,Small,Tier 2,Supermarket Type1,2175.83
FDC48,9.2,Low Fat,Low,Baking Goods,81.66,OUT035,2004,Small,Tier 2,Supermarket Type1,1403.51
DRF27,8.93,Low Fat,Low,Dairy,152.33,OUT035,2004,Small,Tier 2,Supermarket Type1,2143.88
NCB55,15.7,Low Fat,High,Household,59.26,OUT013,1987,Large,Tier 3,Supermarket Type1,296.28
NCX30,16.7,Low Fat,Low,Household,246.38,OUT017,2007,NA,Tier 2,Supermarket Type1,1981.42
DRN36,12.6,Low Fat,High,Soft Drinks,95.08,OUT027,1985,Medium,Tier 3,Supermarket Type3,2588.63
FDP08,20.5,Regular,High,Fruits and Vegetables,194.15,OUT017,2007,NA,Tier 2,Supermarket Type1,2906.22
NCD31,12.6,Low Fat,Low,Household,163.75,OUT027,1985,Medium,Tier 3,Supermarket Type3,1973.43
FDK45,11.65,Low Fat,Low,Seafood,112.29,OUT017,2007,NA,Tier 2,Supermarket Type1,452.74
DRE49,20.75,Low Fat,Low,Soft Drinks,153.5,OUT049,1999,Medium,Tier 1,Supermarket Type1,2428.84
FDU52,12.6,Low Fat,High,Frozen Foods,157.56,OUT027,1985,Medium,Tier 3,Supermarket Type3,1721.09
FDD53,16.2,Low Fat,High,Frozen Foods,41.75,OUT010,1998,NA,Tier 3,Grocery Store,83.89
FDF11,10.2,Regular,Low,Starchy Foods,239.45,OUT045,2002,NA,Tier 2,Supermarket Type1,4566.72
NCR30,12.6,Low Fat,High,Household,73.47,OUT019,1985,Small,Tier 1,Grocery Store,298.28
FDD03,13.3,Low Fat,High,Dairy,233.03,OUT013,1987,Large,Tier 3,Supermarket Type1,5359.69
FDF09,6.22,Low Fat,Low,Fruits and Vegetables,37.48,OUT049,1999,Medium,Tier 1,Supermarket Type1,111.85
FDS33,6.67,Regular,High,Snack Foods,90.55,OUT018,2009,Medium,Tier 3,Supermarket Type2,974.07
FDK03,12.6,Regular,High,Dairy,255.54,OUT017,2007,NA,Tier 2,Supermarket Type1,9664.75
FDD29,12.15,Low Fat,Low,Frozen Foods,254.77,OUT035,2004,Small,Tier 2,Supermarket Type1,5834.41
FDD02,16.6,Low Fat,High,Canned,117.21,OUT049,1999,Medium,Tier 1,Supermarket Type1,1422.15
FDF29,12.6,Regular,Low,Frozen Foods,128.13,OUT027,1985,Medium,Tier 3,Supermarket Type3,1687.8
FDP59,20.85,Regular,High,Breads,103.66,OUT046,1997,Small,Tier 1,Supermarket Type1,2285.03
NCN17,11.0,Low Fat,High,Health and Hygiene,101.74,OUT035,2004,Small,Tier 2,Supermarket Type1,1508.04
NCM55,15.6,Low Fat,High,Others,185.59,OUT049,1999,Medium,Tier 1,Supermarket Type1,3146.57
FDD39,12.6,Low Fat,High,Dairy,217.68,OUT019,1985,Small,Tier 1,Grocery Store,432.77
FDS02,10.2,Regular,High,Dairy,194.58,OUT017,2007,NA,Tier 2,Supermarket Type1,4096.67
FDN16,12.6,Regular,High,Frozen Foods,105.1,OUT045,2002,NA,Tier 2,Supermarket Type1,1444.79
FDM21,20.2,Low Fat,High,Snack Foods,255.76,OUT049,1999,Medium,Tier 1,Supermarket Type1,5410.96
FDJ04,18.0,Low Fat,High,Frozen Foods,116.51,OUT018,2009,Medium,Tier 3,Supermarket Type2,355.54
FDT50,6.75,Regular,High,Dairy,96.78,OUT049,1999,Medium,Tier 1,Supermarket Type1,1342.25
FDM27,12.35,Regular,High,Meat,158.19,OUT018,2009,Medium,Tier 3,Supermarket Type2,1104.56
FDT19,7.59,Regular,High,Fruits and Vegetables,173.11,OUT045,2002,NA,Tier 2,Supermarket Type1,2077.3
FDQ39,14.8,Low Fat,High,Meat,190.58,OUT049,1999,Medium,Tier 1,Supermarket Type1,3630.61
NCU30,5.11,Low Fat,Low,Household,161.72,OUT046,1997,Small,Tier 1,Supermarket Type1,2446.82
FDY27,6.38,Low Fat,Low,Dairy,177.43,OUT046,1997,Small,Tier 1,Supermarket Type1,1784.34
FDW14,8.3,Regular,Low,Dairy,87.72,OUT046,1997,Small,Tier 1,Supermarket Type1,1569.96
FDJ21,16.7,Regular,Low,Snack Foods,143.81,OUT017,2007,NA,Tier 2,Supermarket Type1,4811.74
FDX47,12.6,Regular,Low,Breads,156.53,OUT027,1985,Medium,Tier 3,Supermarket Type3,4870.99
FDK56,9.7,Low Fat,High,Fruits and Vegetables,185.29,OUT045,2002,NA,Tier 2,Supermarket Type1,3367.62
NCN05,8.24,Low Fat,Low,Health and Hygiene,184.8,OUT035,2004,Small,Tier 2,Supermarket Type1,1464.76
FDC26,10.2,Low Fat,High,Canned,112.19,OUT046,1997,Small,Tier 1,Supermarket Type1,667.13
FDT14,10.7,Regular,High,Dairy,119.24,OUT013,1987,Large,Tier 3,Supermarket Type1,3475.48
FDS36,8.38,Regular,High,Baking Goods,109.86,OUT035,2004,Small,Tier 2,Supermarket Type1,2307.0
FDR48,11.65,Low Fat,High,Baking Goods,153.0,OUT010,1998,NA,Tier 3,Grocery Store,455.41
FDM04,9.2,Regular,High,Frozen Foods,52.07,OUT035,2004,Small,Tier 2,Supermarket Type1,615.2
FDZ37,8.1,Regular,Low,Canned,88.62,OUT046,1997,Small,Tier 1,Supermarket Type1,1569.96
FDE46,18.6,Low Fat,Low,Snack Foods,152.94,OUT017,2007,NA,Tier 2,Supermarket Type1,453.41
NCQ53,17.6,Low Fat,Low,Health and Hygiene,234.66,OUT046,1997,Small,Tier 1,Supermarket Type1,8508.92
NCN42,20.25,Low Fat,Low,Household,148.04,OUT018,2009,Medium,Tier 3,Supermarket Type2,1177.13
DRH11,5.98,Low Fat,High,Hard Drinks,53.36,OUT049,1999,Medium,Tier 1,Supermarket Type1,331.57
NCI42,18.75,Low Fat,Low,Household,207.9,OUT049,1999,Medium,Tier 1,Supermarket Type1,2292.35
FDT07,5.82,Regular,High,Fruits and Vegetables,255.33,OUT045,2002,NA,Tier 2,Supermarket Type1,4870.33
DRL60,8.52,Low Fat,Low,Soft Drinks,153.37,OUT046,1997,Small,Tier 1,Supermarket Type1,914.81
FDG20,15.5,Regular,High,Fruits and Vegetables,178.4,OUT018,2009,Medium,Tier 3,Supermarket Type2,1239.72
FDF56,16.7,Regular,High,Fruits and Vegetables,182.8,OUT046,1997,Small,Tier 1,Supermarket Type1,1810.98
FDV33,9.6,Regular,Low,Snack Foods,258.13,OUT018,2009,Medium,Tier 3,Supermarket Type2,2324.97
NCF31,9.13,Low Fat,High,Household,151.4,OUT049,1999,Medium,Tier 1,Supermarket Type1,1973.43
FDD59,10.5,Regular,High,Starchy Foods,78.3,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.13
FDQ52,17.0,Low Fat,High,Frozen Foods,249.74,OUT049,1999,Medium,Tier 1,Supermarket Type1,4221.84
FDP09,12.6,Low Fat,Low,Snack Foods,211.69,OUT027,1985,Medium,Tier 3,Supermarket Type3,4247.8
FDK24,9.2,Low Fat,High,Baking Goods,46.47,OUT035,2004,Small,Tier 2,Supermarket Type1,950.76
NCA18,10.1,Low Fat,High,Household,117.85,OUT046,1997,Small,Tier 1,Supermarket Type1,1621.89
NCE07,8.18,Low Fat,High,Household,140.52,OUT045,2002,NA,Tier 2,Supermarket Type1,1701.78
FDM45,8.65,Regular,High,Snack Foods,122.68,OUT035,2004,Small,Tier 2,Supermarket Type1,2302.34
FDQ32,17.85,Regular,High,Fruits and Vegetables,122.94,OUT046,1997,Small,Tier 1,Supermarket Type1,3095.97
FDI34,10.65,Regular,High,Snack Foods,229.87,OUT035,2004,Small,Tier 2,Supermarket Type1,4146.6
FDE14,13.65,Regular,Low,Canned,99.27,OUT013,1987,Large,Tier 3,Supermarket Type1,2596.62
DRF37,17.25,Low Fat,High,Soft Drinks,261.19,OUT017,2007,NA,Tier 2,Supermarket Type1,3155.89
FDW44,9.5,Regular,Low,Fruits and Vegetables,169.74,OUT017,2007,NA,Tier 2,Supermarket Type1,3579.34
FDC59,16.7,Regular,High,Starchy Foods,63.62,OUT049,1999,Medium,Tier 1,Supermarket Type1,1342.25
NCI29,8.6,Low Fat,High,Health and Hygiene,141.12,OUT010,1998,NA,Tier 3,Grocery Store,425.45
FDV38,19.25,Low Fat,High,Dairy,54.4,OUT018,2009,Medium,Tier 3,Supermarket Type2,1201.1
FDZ49,11.0,Regular,High,Canned,222.08,OUT013,1987,Large,Tier 3,Supermarket Type1,2864.94
DRD49,9.9,Low Fat,High,Soft Drinks,237.76,OUT045,2002,NA,Tier 2,Supermarket Type1,3813.7
FDA02,14.0,Regular,Low,Dairy,143.48,OUT046,1997,Small,Tier 1,Supermarket Type1,1589.26
FDX20,7.36,Low Fat,Low,Fruits and Vegetables,226.97,OUT018,2009,Medium,Tier 3,Supermarket Type2,3848.32
FDS24,20.85,Regular,High,Baking Goods,90.25,OUT013,1987,Large,Tier 3,Supermarket Type1,619.86
FDI58,7.64,Regular,High,Snack Foods,93.41,OUT046,1997,Small,Tier 1,Supermarket Type1,1491.39
FDQ60,12.6,Regular,High,Baking Goods,121.21,OUT019,1985,Small,Tier 1,Grocery Store,120.51
FDJ27,17.7,Regular,High,Meat,103.37,OUT049,1999,Medium,Tier 1,Supermarket Type1,2546.68
FDV27,7.97,Regular,Low,Meat,90.45,OUT017,2007,NA,Tier 2,Supermarket Type1,1328.27
NCL41,12.35,Low Fat,Low,Health and Hygiene,33.12,OUT046,1997,Small,Tier 1,Supermarket Type1,519.32
NCP29,8.42,Low Fat,High,Health and Hygiene,63.22,OUT046,1997,Small,Tier 1,Supermarket Type1,703.08
FDC45,12.6,Low Fat,High,Fruits and Vegetables,170.31,OUT027,1985,Medium,Tier 3,Supermarket Type3,3422.21
FDN33,6.3,Regular,High,Snack Foods,93.24,OUT013,1987,Large,Tier 3,Supermarket Type1,2079.96
DRC01,5.92,Regular,Low,Soft Drinks,49.87,OUT045,2002,NA,Tier 2,Supermarket Type1,1133.19
FDL57,15.1,Regular,High,Snack Foods,260.23,OUT045,2002,NA,Tier 2,Supermarket Type1,4908.28
NCF42,17.35,Low Fat,High,Household,177.57,OUT010,1998,NA,Tier 3,Grocery Store,527.31
FDG50,7.4,Low Fat,Low,Canned,89.91,OUT046,1997,Small,Tier 1,Supermarket Type1,1550.65
FDH22,6.4,Low Fat,High,Snack Foods,128.77,OUT049,1999,Medium,Tier 1,Supermarket Type1,3052.03
FDO36,19.7,Low Fat,High,Baking Goods,178.07,OUT049,1999,Medium,Tier 1,Supermarket Type1,3954.85
FDY04,17.7,Regular,Low,Frozen Foods,162.72,OUT018,2009,Medium,Tier 3,Supermarket Type2,978.73
FDZ09,17.6,Low Fat,High,Snack Foods,161.89,OUT035,2004,Small,Tier 2,Supermarket Type1,4094.67
FDH28,15.85,Regular,High,Frozen Foods,39.75,OUT049,1999,Medium,Tier 1,Supermarket Type1,721.06
FDN32,17.5,Low Fat,Low,Fruits and Vegetables,185.13,OUT049,1999,Medium,Tier 1,Supermarket Type1,4795.09
DRJ37,12.6,Low Fat,High,Soft Drinks,150.8,OUT027,1985,Medium,Tier 3,Supermarket Type3,3339.65
FDE57,9.6,Low Fat,Low,Fruits and Vegetables,140.82,OUT017,2007,NA,Tier 2,Supermarket Type1,1843.6
FDG05,11.0,Regular,High,Frozen Foods,158.06,OUT045,2002,NA,Tier 2,Supermarket Type1,2659.87
FDI09,20.75,Regular,High,Seafood,240.19,OUT018,2009,Medium,Tier 3,Supermarket Type2,5992.2
DRD12,12.6,Low Fat,High,Soft Drinks,89.41,OUT027,1985,Medium,Tier 3,Supermarket Type3,2645.22
FDD02,16.6,Low Fat,High,Canned,118.01,OUT010,1998,NA,Tier 3,Grocery Store,592.56
FDI36,12.5,Regular,High,Baking Goods,199.74,OUT046,1997,Small,Tier 1,Supermarket Type1,593.23
DRK39,7.02,Low Fat,High,Dairy,82.42,OUT049,1999,Medium,Tier 1,Supermarket Type1,1414.82
FDH44,19.1,Regular,Low,Fruits and Vegetables,147.64,OUT035,2004,Small,Tier 2,Supermarket Type1,1471.42
FDS56,5.78,Regular,Low,Fruits and Vegetables,262.63,OUT049,1999,Medium,Tier 1,Supermarket Type1,524.65
DRJ59,11.65,Low Fat,Low,Hard Drinks,40.32,OUT045,2002,NA,Tier 2,Supermarket Type1,502.01
NCA30,19.0,Low Fat,High,Household,190.19,OUT010,1998,NA,Tier 3,Grocery Store,567.26
FDF17,5.19,Low Fat,Low,Frozen Foods,197.81,OUT045,2002,NA,Tier 2,Supermarket Type1,2946.16
NCX18,14.15,Low Fat,High,Household,196.31,OUT046,1997,Small,Tier 1,Supermarket Type1,3338.99
NCO53,16.2,Low Fat,High,Health and Hygiene,183.76,OUT018,2009,Medium,Tier 3,Supermarket Type2,2940.17
FDT23,7.72,Regular,High,Breads,78.9,OUT049,1999,Medium,Tier 1,Supermarket Type1,623.19
NCJ19,18.6,Low Fat,High,Others,56.26,OUT046,1997,Small,Tier 1,Supermarket Type1,1030.66
FDI05,8.35,Regular,High,Frozen Foods,76.54,OUT017,2007,NA,Tier 2,Supermarket Type1,1805.65
NCJ19,18.6,Low Fat,High,Others,55.66,OUT010,1998,NA,Tier 3,Grocery Store,114.52
NCS29,12.6,Low Fat,High,Health and Hygiene,264.09,OUT027,1985,Medium,Tier 3,Supermarket Type3,4504.8
NCC06,19.0,Low Fat,Low,Household,129.83,OUT013,1987,Large,Tier 3,Supermarket Type1,3451.51
FDJ12,8.9,Regular,Low,Baking Goods,207.43,OUT017,2007,NA,Tier 2,Supermarket Type1,2492.76
FDW48,18.0,Low Fat,Low,Baking Goods,78.56,OUT013,1987,Large,Tier 3,Supermarket Type1,402.81
FDX32,15.1,Regular,High,Fruits and Vegetables,144.78,OUT017,2007,NA,Tier 2,Supermarket Type1,2600.61
FDH02,12.6,Regular,High,Canned,91.85,OUT027,1985,Medium,Tier 3,Supermarket Type3,2716.46
FDD16,20.5,Low Fat,Low,Frozen Foods,75.87,OUT046,1997,Small,Tier 1,Supermarket Type1,2386.23
FDR09,12.6,Low Fat,High,Snack Foods,259.8,OUT027,1985,Medium,Tier 3,Supermarket Type3,8028.88
FDB32,20.6,Low Fat,Low,Fruits and Vegetables,93.38,OUT018,2009,Medium,Tier 3,Supermarket Type2,1314.29
FDP11,15.85,Low Fat,High,Breads,218.72,OUT013,1987,Large,Tier 3,Supermarket Type1,4136.62
FDG09,20.6,Regular,High,Fruits and Vegetables,187.76,OUT049,1999,Medium,Tier 1,Supermarket Type1,3004.09
FDF21,10.3,Regular,High,Fruits and Vegetables,187.85,OUT013,1987,Large,Tier 3,Supermarket Type1,2656.54
NCJ19,12.6,Low Fat,High,Others,55.26,OUT027,1985,Medium,Tier 3,Supermarket Type3,2748.42
FDY03,17.6,Regular,High,Meat,111.32,OUT010,1998,NA,Tier 3,Grocery Store,337.56
FDK58,11.35,Regular,Low,Snack Foods,101.0,OUT013,1987,Large,Tier 3,Supermarket Type1,2631.24
FDC26,10.2,Low Fat,High,Canned,112.29,OUT049,1999,Medium,Tier 1,Supermarket Type1,2557.34
FDN15,17.5,Low Fat,Low,Meat,138.52,OUT018,2009,Medium,Tier 3,Supermarket Type2,2376.91
